demand_total_active_power_dev,demand_total_active_power_prod,device_dev,device_prod,energy_dev,energy_prod,i1_dev,i1_prod,i2_dev,i2_prod,i3_dev,i3_prod,maximum_demand_total_active_power_dev,maximum_demand_total_active_power_prod,time_dev,time_prod,total_active_power_dev,total_active_power_prod,total_apparent_power_dev,total_apparent_power_prod,total_power_factor_dev,total_power_factor_prod,u12_dev,u12_prod,u13_dev,u13_prod,u23_dev,u23_prod,v1_dev,v1_prod,v2_dev,v2_prod,v3_dev,v3_prod
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:00.001248,2024-02-12 16:00:01,0.0,0.0,0.0,0.0,,,400.0,400.299988,400.5,400.600006,401.1000061035156,401.5,,,,,,
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:02.001569,2024-02-12 16:00:03,0.0,0.0,0.0,0.0,,,400.2999877929688,400.299988,400.6000061035156,400.600006,401.5,401.5,,,,,,
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:04.000326,2024-02-12 16:00:05,0.0,0.0,0.0,0.0,,,400.2999877929688,400.299988,400.6000061035156,400.5,401.5,401.299988,,,,,,
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:06.001488,2024-02-12 16:00:07,0.0,0.0,0.0,0.0,,,400.2999877929688,400.299988,400.5,400.5,401.2999877929688,401.299988,,,,,,
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:08.000475,2024-02-12 16:00:09,0.0,0.0,0.0,0.0,,,400.2999877929688,400.299988,400.5,400.5,401.2999877929688,401.299988,,,,,,
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:10.001661,2024-02-12 16:00:11,0.0,0.0,0.0,0.0,,,400.2999877929688,400.200012,400.5,400.299988,401.2999877929688,401.299988,,,,,,
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:12.000238,2024-02-12 16:00:13,0.0,0.0,0.0,0.0,,,400.2000122070313,400.200012,400.2999877929688,400.299988,401.2999877929688,401.299988,,,,,,
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:14.000292,2024-02-12 16:00:15,0.0,0.0,0.0,0.0,,,400.2000122070313,400.100006,400.2999877929688,400.100006,401.2999877929688,401.299988,,,,,,
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:16.000238,2024-02-12 16:00:17,0.0,0.0,0.0,0.0,,,400.1000061035156,400.100006,400.1000061035156,400.100006,401.2999877929688,401.299988,,,,,,
287.2833251953125,287.283325,Aparat za kavu,Aparat za kavu,10638286,10638.286,0.0,0.0,0.0,0.0,0.0,0.0,38795.0625,38795.0625,2024-02-12 16:00:18.000391,2024-02-12 16:00:19,0.0,0.0,0.0,0.0,,,400.1000061035156,400.100006,400.1000061035156,400.100006,401.2999877929688,401.299988,,,,,,
