time_dev,time_prod,value_dev,value_prod,diff
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,231.1000061035156,231.300003,0.19999689648440722
2024-02-12 16:00:06.001488,2024-02-12 16:00:07,231.3000030517578,231.199997,0.1000060517578163
2024-02-12 16:00:10.001661,2024-02-12 16:00:11,231.1999969482422,231.399994,0.1999970517578049
2024-02-12 16:00:16.000238,2024-02-12 16:00:17,231.3999938964844,231.300003,0.09999089648439963
2024-02-12 16:00:20.001035,2024-02-12 16:00:21,231.3000030517578,231.100006,0.1999970517578049
2024-02-12 16:00:22.001294,,1537000.0,,
2024-02-12 16:00:22.001294,,0.0,,
2024-02-12 16:00:22.001294,,0.0,,
2024-02-12 16:00:22.001294,,1505.2833251953125,,
2024-02-12 16:00:22.001294,,0.0,,
2024-02-12 16:00:22.001294,,231.1000061035156,,
2024-02-12 16:00:22.001294,,0.0,,
2024-02-12 16:00:36.002189,2024-02-12 16:00:36,231.5,231.600006,0.10000600000000759
2024-02-12 16:01:06.002082,2024-02-12 16:01:07,231.6000061035156,231.699997,0.09999089648439963
2024-02-12 16:01:10.000470,2024-02-12 16:01:11,231.6999969482422,231.800003,0.1000060517578163
2024-02-12 16:01:16.000468,2024-02-12 16:01:17,231.8000030517578,231.699997,0.1000060517578163
2024-02-12 16:01:20.001025,2024-02-12 16:01:21,231.6999969482422,231.300003,0.3999939482421837
2024-02-12 16:01:26.000317,2024-02-12 16:01:27,231.3000030517578,231.0,0.3000030517578125
2024-02-12 16:01:30.000438,2024-02-12 16:01:31,231.0,231.100006,0.10000600000000759
2024-02-12 16:01:32.000635,,1537000.0,,
2024-02-12 16:01:32.000635,,0.0,,
2024-02-12 16:01:32.000635,,0.0,,
2024-02-12 16:01:32.000635,,1505.2833251953125,,
2024-02-12 16:01:32.000635,,0.0,,
2024-02-12 16:01:32.000635,,231.1000061035156,,
2024-02-12 16:01:32.000635,,0.0,,
2024-02-12 16:01:56.002016,2024-02-12 16:01:56,231.0,231.100006,0.10000600000000759
2024-02-12 16:02:06.001332,2024-02-12 16:02:07,231.1999969482422,231.600006,0.4000090517578201
2024-02-12 16:02:16.001207,2024-02-12 16:02:17,231.8999938964844,232.0,0.10000610351559658
2024-02-12 16:02:26.000199,2024-02-12 16:02:27,232.0,231.899994,0.10000600000000759
2024-02-12 16:02:30.001172,2024-02-12 16:02:31,231.8999938964844,231.800003,0.09999089648439963
2024-02-12 16:02:36.000861,2024-02-12 16:02:37,231.8000030517578,231.600006,0.1999970517578049
2024-02-12 16:02:46.000205,2024-02-12 16:02:47,231.6000061035156,231.399994,0.20001210351560417
2024-02-12 16:02:48.001879,,1537000.0,,
2024-02-12 16:02:48.001879,,0.0,,
2024-02-12 16:02:48.001879,,0.0,,
2024-02-12 16:02:48.001879,,1505.2833251953125,,
2024-02-12 16:02:48.001879,,0.0,,
2024-02-12 16:02:48.001879,,231.3999938964844,,
2024-02-12 16:02:48.001879,,0.0,,
2024-02-12 16:02:56.000691,2024-02-12 16:02:56,231.5,231.800003,0.3000030000000038
2024-02-12 16:03:06.015149,2024-02-12 16:03:06,231.8999938964844,232.100006,0.20001210351560417
2024-02-12 16:03:40.000624,2024-02-12 16:03:41,232.0,231.800003,0.1999969999999962
2024-02-12 16:03:46.000351,2024-02-12 16:03:47,231.8000030517578,231.5,0.3000030517578125
2024-02-12 16:03:50.000878,,1537000.0,,
2024-02-12 16:03:50.000878,,0.0,,
2024-02-12 16:03:50.000878,,0.0,,
