time_dev,time_prod,value_dev,value_prod,diff
2024-02-12 16:01:50.002137,2024-02-12 16:01:50,231.6000061035156,231.5,0.10000610351559658
2024-02-12 16:01:50.002137,2024-02-12 16:01:50,82.0,83.0,1.0
2024-02-12 16:01:52.000647,2024-02-12 16:01:52,0.3600000143051147,0.36,1.4305114703905275e-08
2024-02-12 16:01:54.000877,2024-02-12 16:01:54,0.3600000143051147,0.36,1.4305114703905275e-08
2024-02-12 16:01:56.002016,2024-02-12 16:01:56,0.3700000047683716,0.37,4.768371586472142e-09
2024-02-12 16:01:58.000658,2024-02-12 16:01:59,0.3700000047683716,0.37,4.768371586472142e-09
2024-02-12 16:02:00.001595,2024-02-12 16:02:01,44.0,46.0,2.0
2024-02-12 16:02:00.001595,2024-02-12 16:02:01,0.3700000047683716,0.35,0.020000004768371604
2024-02-12 16:02:00.001595,2024-02-12 16:02:01,231.5,231.399994,0.10000600000000759
2024-02-12 16:02:00.001595,2024-02-12 16:02:01,83.0,86.0,3.0
2024-02-12 16:02:02.000313,2024-02-12 16:02:03,0.3499999940395355,0.35,5.960464455334602e-09
2024-02-12 16:02:04.000149,2024-02-12 16:02:05,46.0,47.0,1.0
2024-02-12 16:02:04.000149,2024-02-12 16:02:05,0.3499999940395355,0.36,0.010000005960464464
2024-02-12 16:02:04.000149,2024-02-12 16:02:05,231.3999938964844,231.300003,0.09999089648439963
2024-02-12 16:02:04.000149,2024-02-12 16:02:05,0.5199999809265137,0.55,0.030000019073486373
2024-02-12 16:02:04.000149,2024-02-12 16:02:05,86.0,85.0,1.0
2024-02-12 16:02:06.001332,2024-02-12 16:02:07,0.3600000143051147,0.36,1.4305114703905275e-08
2024-02-12 16:02:08.000453,2024-02-12 16:02:09,0.3600000143051147,0.36,1.4305114703905275e-08
2024-02-12 16:02:10.000578,2024-02-12 16:02:11,0.3600000143051147,0.36,1.4305114703905275e-08
2024-02-12 16:02:10.000578,2024-02-12 16:02:11,231.3000030517578,231.199997,0.1000060517578163
2024-02-12 16:02:10.000578,2024-02-12 16:02:11,0.550000011920929,0.56,0.009999988079071098
2024-02-12 16:02:10.000578,2024-02-12 16:02:11,85.0,84.0,1.0
2024-02-12 16:02:12.000077,2024-02-12 16:02:13,0.3600000143051147,0.36,1.4305114703905275e-08
2024-02-12 16:02:14.000892,2024-02-12 16:02:15,0.3600000143051147,0.37,0.009999985694885305
2024-02-12 16:02:14.000892,2024-02-12 16:02:15,231.1999969482422,231.100006,0.09999094824217991
2024-02-12 16:02:14.000892,2024-02-12 16:02:15,0.5600000023841858,0.54,0.020000002384185755
2024-02-12 16:02:14.000892,2024-02-12 16:02:15,84.0,83.0,1.0
2024-02-12 16:02:16.001207,2024-02-12 16:02:17,92.31665802001952,85.800003,6.516655020019513
2024-02-12 16:02:16.001207,2024-02-12 16:02:17,0.3700000047683716,0.37,4.768371586472142e-09
2024-02-12 16:02:18.001319,2024-02-12 16:02:19,0.3700000047683716,0.37,4.768371586472142e-09
2024-02-12 16:02:20.000555,2024-02-12 16:02:21,0.3700000047683716,0.36,0.010000004768371595
2024-02-12 16:02:20.000555,2024-02-12 16:02:21,231.1000061035156,230.800003,0.3000031035155928
2024-02-12 16:02:20.000555,2024-02-12 16:02:21,0.5400000214576721,0.57,0.029999978542327832
2024-02-12 16:02:20.000555,2024-02-12 16:02:21,83.0,85.0,2.0
2024-02-12 16:02:22.001037,2024-02-12 16:02:23,0.3600000143051147,0.36,1.4305114703905275e-08
2024-02-12 16:02:24.000934,2024-02-12 16:02:25,0.3600000143051147,0.37,0.009999985694885305
2024-02-12 16:02:24.000934,2024-02-12 16:02:25,230.8000030517578,230.600006,0.1999970517578049
2024-02-12 16:02:24.000934,2024-02-12 16:02:25,0.5699999928474426,0.56,0.009999992847442574
2024-02-12 16:02:24.000934,2024-02-12 16:02:25,85.0,88.0,3.0
2024-02-12 16:02:26.000199,2024-02-12 16:02:27,85.80000305175781,79.283333,6.5166700517578136
2024-02-12 16:02:26.000199,2024-02-12 16:02:27,0.3700000047683716,0.37,4.768371586472142e-09
2024-02-12 16:02:28.000601,2024-02-12 16:02:29,0.3700000047683716,0.37,4.768371586472142e-09
2024-02-12 16:02:30.001172,2024-02-12 16:02:31,0.3700000047683716,0.37,4.768371586472142e-09
2024-02-12 16:02:30.001172,2024-02-12 16:02:31,230.6000061035156,230.5,0.10000610351559658
2024-02-12 16:02:30.001172,2024-02-12 16:02:31,88.0,84.0,4.0
2024-02-12 16:02:32.000350,2024-02-12 16:02:33,0.3700000047683716,0.37,4.768371586472142e-09
2024-02-12 16:02:34.001646,2024-02-12 16:02:35,3751669.0,3751670.0,1.0
2024-02-12 16:02:34.001646,2024-02-12 16:02:35,47.0,48.0,1.0
2024-02-12 16:02:34.001646,2024-02-12 16:02:35,0.3700000047683716,0.36,0.010000004768371595
2024-02-12 16:02:34.001646,2024-02-12 16:02:35,230.5,230.399994,0.10000600000000759
2024-02-12 16:02:34.001646,2024-02-12 16:02:35,0.5600000023841858,0.57,0.00999999761581416
2024-02-12 16:02:34.001646,2024-02-12 16:02:35,84.0,89.0,5.0
